Time, Voltage, Current, Resistance, Torque, Speed, Temperature, Vibration, Load, Bearing Health, Insulation Health, Component Failure
0.02, 1.999867, 0.2, 20, 99.98, 2, 25.02, 1.019997, 501, 0.999998, 1, Works
0.04, 3.998933, 0.4, 20, 99.96, 4, 25.04, 1.039985, 501.9999, 0.9999959, 1, Works
0.3733333, 36.47212, 3.733333, 20, 99.62666, 37.33333, 25.37325, 1.364684, 518.5585, 0.9999626, 1, Works
0.3948717, 38.46898, 3.948717, 20, 99.60513, 39.48717, 25.39477, 1.38465, 519.6155, 0.9999605, 1, Works
0.4067921, 39.56653, 4.067921, 20, 99.59321, 40.67921, 25.40668, 1.395625, 520.1996, 0.9999593, 1, Works
0.4110157, 39.95407, 4.110157, 20, 99.58898, 41.10157, 25.4109, 1.3995, 520.4064, 0.9999589, 1, Works
0.4149145, 40.31116, 4.149145, 20, 99.58508, 41.49145, 25.41479, 1.40307, 520.5972, 0.9999585, 1, Works
0.4194825, 40.72878, 4.194825, 20, 99.58052, 41.94825, 25.41936, 1.407246, 520.8207, 0.999958, 1, Works
0.4263716, 41.35699, 4.263716, 20, 99.57363, 42.63716, 25.42624, 1.413527, 521.1575, 0.9999573, 1, Works
0.4324446, 41.90916, 4.324446, 20, 99.56756, 43.24446, 25.43231, 1.419048, 521.4542, 0.9999567, 1, Works
0.4368674, 42.31031, 4.368674, 20, 99.56313, 43.68674, 25.43673, 1.423059, 521.6701, 0.9999563, 1, Works
0.4431534, 42.87904, 4.431534, 20, 99.55685, 44.31534, 25.44301, 1.428746, 521.9768, 0.9999556, 1, Works
0.448901, 43.39756, 4.48901, 20, 99.5511, 44.8901, 25.44875, 1.433931, 522.2571, 0.999955, 1, Works
0.4539041, 43.84776, 4.539041, 20, 99.5461, 45.39041, 25.45375, 1.438432, 522.5009, 0.9999545, 1, Works
0.4610274, 44.48684, 4.610273, 20, 99.53897, 46.10273, 25.46086, 1.444822, 522.8478, 0.9999538, 1, Works
0.4660302, 44.93433, 4.660302, 20, 99.53397, 46.60302, 25.46586, 1.449297, 523.0912, 0.9999533, 1, Works
0.4707997, 45.35991, 4.707996, 20, 99.5292, 47.07996, 25.47062, 1.453552, 523.3232, 0.9999529, 1, Works
