Time, Voltage, Current, Resistance, Torque, Speed, Temperature, Vibration, Load, Bearing Health, Insulation Health, Component Failure
0.02, 1.999867, 0.2, 20, 99.98, 2, 25.02, 1.019997, 501, 0.999998, 1, Works
0.04, 3.998933, 0.4, 20, 99.96, 4, 25.04, 1.039985, 501.9999, 0.9999959, 1, Works
0.3733333, 36.47212, 3.733333, 20, 99.62666, 37.33333, 25.37325, 1.364684, 518.5585, 0.9999626, 1, Works
0.3892059, 37.94538, 3.892059, 20, 99.61079, 38.92059, 25.38911, 1.379415, 519.3377, 0.999961, 1, Works
0.3955218, 38.52898, 3.955218, 20, 99.60448, 39.55218, 25.39542, 1.38525, 519.6475, 0.9999604, 1, Works
0.3975432, 38.71544, 3.975432, 20, 99.60246, 39.75432, 25.39744, 1.387115, 519.7465, 0.9999602, 1, Works
0.400378, 38.97665, 4.00378, 20, 99.59962, 40.0378, 25.40027, 1.389726, 519.8854, 0.9999599, 1, Works
0.4039463, 39.30501, 4.039463, 20, 99.59605, 40.39463, 25.40384, 1.39301, 520.0603, 0.9999595, 1, Works
0.4072602, 39.60951, 4.072602, 20, 99.59274, 40.72602, 25.40715, 1.396054, 520.2226, 0.9999592, 1, Works
0.4106525, 39.92077, 4.106525, 20, 99.58935, 41.06525, 25.41054, 1.399166, 520.3887, 0.9999588, 1, Works
0.4131661, 40.1511, 4.131661, 20, 99.58683, 41.31661, 25.41305, 1.40147, 520.5117, 0.9999586, 1, Works
0.4158032, 40.39248, 4.158032, 20, 99.5842, 41.58032, 25.41568, 1.403883, 520.6407, 0.9999583, 1, Works
0.4182358, 40.6149, 4.182358, 20, 99.58176, 41.82358, 25.41811, 1.406107, 520.7597, 0.9999581, 1, Works
0.4213821, 40.9022, 4.213821, 20, 99.57862, 42.13821, 25.42126, 1.40898, 520.9136, 0.9999578, 1, Works
0.4248344, 41.21699, 4.248344, 20, 99.57516, 42.48344, 25.42471, 1.412127, 521.0823, 0.9999574, 1, Works
0.4278823, 41.4945, 4.278823, 20, 99.57212, 42.78823, 25.42775, 1.414902, 521.2313, 0.9999571, 1, Works
0.4301699, 41.70252, 4.301699, 20, 99.56983, 43.01699, 25.43004, 1.416982, 521.343, 0.9999569, 1, Works
